EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10052051,MINNESOTA,1950,June,Tornado,C,WILKIN,4,0,0,0,2.5K,0,F2
10063620,MISSOURI,1950,August,Tornado,C,GREENE,0,0,0,0,.25K,0,F1
10110746,SOUTH DAKOTA,1950,May,Tornado,C,HUTCHINSON,0,0,0,0,2.5K,0,F1
10017011,IOWA,1950,June,Tornado,C,STORY,5,0,0,0,0K,0,F3
10017012,IOWA,1950,July,Tornado,C,BUCHANAN,0,0,0,0,0K,0,F2
10017009,IOWA,1950,May,Tornado,C,MILLS,0,0,0,0,.03K,0,F1
10017010,IOWA,1950,May,Tornado,C,MONTGOMERY,0,0,0,0,0K,0,F2
10032623,LOUISIANA,1950,February,Tornado,C,DE SOTO,0,0,0,0,250K,0,F4
10032624,LOUISIANA,1950,February,Tornado,C,DE SOTO,0,0,0,0,250K,0,F2
10032625,LOUISIANA,1950,February,Tornado,C,SABINE,25,0,5,0,250K,0,F3
10032626,LOUISIANA,1950,February,Tornado,C,CADDO,40,0,9,0,250K,0,F4
10032628,LOUISIANA,1950,February,Tornado,C,BOSSIER,37,0,9,0,250K,0,F4
10032629,LOUISIANA,1950,February,Tornado,C,NATCHITOCHES,0,0,0,0,250K,0,F3
10032630,LOUISIANA,1950,February,Tornado,C,NATCHITOCHES,0,0,0,0,250K,0,F3
10032631,LOUISIANA,1950,February,Tornado,C,WEBSTER,0,0,0,0,250K,0,F4
10032632,LOUISIANA,1950,February,Tornado,C,BIENVILLE,0,0,0,0,250K,0,F3
10032633,LOUISIANA,1950,February,Tornado,C,EAST CARROLL,0,0,0,0,25K,0,F1
10032634,LOUISIANA,1950,March,Tornado,C,CALCASIEU,2,0,0,0,25K,0,F1
10032635,LOUISIANA,1950,March,Tornado,C,JEFFERSON,0,0,0,0,25K,0,F0
10032636,LOUISIANA,1950,March,Tornado,C,ASCENSION,0,0,0,0,25K,0,F2
10086808,OHIO,1950,January,Tornado,C,VAN WERT,1,0,0,0,25K,0,F1
10086809,OHIO,1950,July,Tornado,C,VAN WERT,0,0,0,0,0K,0,F2
10086810,OHIO,1950,July,Tornado,C,ALLEN,30,0,0,0,2.5M,0,F3
10027577,KANSAS,1950,April,Tornado,C,COFFEY,0,0,0,0,25K,0,F1
10027578,KANSAS,1950,May,Tornado,C,RUSH,0,0,0,0,25K,0,F1
10027579,KANSAS,1950,May,Tornado,C,BARTON,0,0,0,0,250K,0,F4
10027580,KANSAS,1950,May,Tornado,C,PAWNEE,1,0,0,0,250K,0,F4
10027581,KANSAS,1950,May,Tornado,C,JACKSON,12,0,0,0,250K,0,F3
10027582,KANSAS,1950,May,Tornado,C,BROWN,0,0,0,0,250K,0,F3
10027583,KANSAS,1950,May,Tornado,C,MITCHELL,0,0,0,0,250K,0,F2
10027584,KANSAS,1950,May,Tornado,C,JEWELL,1,0,0,0,25K,0,F2
10089655,NORTH DAKOTA,1950,June,Tornado,C,CASS,0,0,0,0,250K,0,F3
10089656,NORTH DAKOTA,1950,June,Tornado,C,DIVIDE,0,0,0,0,25K,0,F3
10120416,TEXAS,1950,May,Tornado,C,DAWSON,0,0,0,0,2.5K,0,F1
10120417,TEXAS,1950,May,Tornado,C,DENTON,0,0,0,0,0K,0,F1
